company_name,address,email,phone_number,website
ΠΑΠΑΓΕΩΡΓΙΟΥ WIRELAND ΟΕ,11km Thessaloniki-Athens (Sindos),info@wireland.gr,"+30 2310 795992,  +30 2310 527742",https://wireland.gr/el/
3DHUB IKE,"Θεσσαλονίκης 129 & Άρτης 1, 18346 Μοσχάτο",info@3dhub.gr,2104636659,http://www.3dhub.gr/
Adamant Composites,"Agia Laura Street, Thesi Skamnies Ano Kastritsi Patron, 26504 Achaia, Greece",info@adamant-composites.com,2610931730,https://www.adamant-composites.com/
ADVANCED ENGINEERING TECHNOLOGIES,"18 Sotiriou Gritsis 18, 136 71, Acharnai",info@aet.gr,2110176456,https://www.aet.gr/
AEROSERVICES,"Thermopylae 3, 152 33, Halandri",info@aeroservices.gr,2106844633,https://www.aeroservices.gr/
AKMON S.A.,"44th str. Nr.4, Ano Liosia Industrial Park, Ano Liosia 133 41, Attica, Greece",akmon@akmonsa.gr,2106773480-1e,https://akmonsa.gr/
ALAVE,"Geor. 65 Gennimata 65, 16562, Glyfada",info@alave.gr,2108941990,http://www.alave.gr/
ALEXMOLDS,"SCHISTO INDUSTRIAL PARK / PERAMA 18863, GREECE",alex@alexmolds.gr,2104117250,https://alexmolds.gr/
ALKYONIS,"Ave. 155 Vouliagmenis, 16674 Glyfada",info@alkyonis.co,210 8982367,http://www.alkyonis.co/
ALPHA SYSTEMS,"Lykeiou 2, 106 74, Athens",alpha@alphasys.gr,2107214777,https://alphasys.gr/
ALTHOM,"Eparxiaki Odos Kato – Ano Kastritsiou 6 26500 | Magoula, Rio Patras/Greece",info@althom.eu,2610333816,https://www.althom.de/
ALTUS,Athens Offices,info@altus-lsa.com,2821044492,https://altus-lsa.com/
ALUMAN S.A.,"3 Merlin 3, 106 71, Kolonaki, Athens, Attica",info@aluman.gr,2103609435,https://www.aluman.gr/
AMPLUS S.A. INTEGRATED IT SOLUTIONS,"Κύπρου 8 , ΤΚ 141 22 Ηράκλειο Αττικής",amplus@amplus.gr,210 6100020,http://www.amplus.gr/
AMS AERO,HEADQUARTERS,info@amsaero.eu,211 0168511 / 2103541235,https://amsaero.eu/
ANATECO,"23rd I.Gavriil Str. 13677 Acharnes, Attiki, Greece",info@anateco.gr,2102824050-1,https://anateco.gr/
ANiMA,"27, Marathonos Ave, Pallini, Attika",info@anima.eu,+302107776822,https://www.anima.eu/
ANORAK,"372-374 Acharnon street, P.C. 111 45, Athens, Greece",info@anorak.gr,2102029338,https://www.anorak.gr
APELLA,"101 Dim. Christou Mpeka Str, 190 04 Spata, Greece",info@apella.gr,2106635528 / +30 6937 318351,https://apella.gr/
ARIEXPO,"68 Avenue Alimou, Alimos, 17455, Athens",central@ariexpo.gr,2109843863,https://www.ariexpo.gr/
ARPEDON,"80 Ionias Ave. , P.C.17456 ALIMOS",info@arpedon.com,210 99 33 536,https://arpedon.com/
ASD,"Acropoleos 47, Peristeri, 121 31, Attica",info@asd-sa.gr,2105788500,https://www.asd-sa.gr/
ATC,"10 Rizariou 10, Halandri 151 33, Athens, Greece",info@atc.gr,2106874300,https://www.atc.gr
ATCOR,"10 Sperheiados Str, GR-12133, Peristeri, Athens, GR",info@atcor.gr,2105740621,https://www.atcor.com.gr/
AVIATEC,"26 DOUKISSIS PLAKENTIAS Avenue, 152 34 , XALANDRI, GREECE",info@aviatec.gr,2106836347 / 6945218183,https://www.aviatec.gr
AVS – Business Quality Consultants I.K.E.,"Sinopis 25, Nea Smirni, 17124",dioasi@avs.gr,2109310910,https://www.avs.gr/#page_0/
AXON,"BIOMHXANIKH ZONI INOPHYTON, INOPHYTA 32011 GREECE",axon@axoneng.gr,2262030966-68,https://www.axoneng.gr
B&T COMPOSITES,"Agroktima Florinas, AA1834, Florina, 53100, Greece",contact@btcomposites.gr,2385044413,https://www.btcomposites.gr
BARRACUDA,"22, IRINIS AVE., 17778 TAVROS, ATTICA, GREECE",boats@barracuda.gr,+30 2103410986-7,https://www.barracuda.gr
BELLOWS HELLAS,"27 Aigaleo & Salaminos Str., 18545, Piraeus, Greece",info@bellowshellas.com,2104116647,https://www.bellowshellas.com/
BGI-EUROPE,"ARCHIMEDES 108, KOROPI 19400, ATHENS, ATTICA",info@bgi-europe.com,210 6628371 - 6930973580,https://www.bgi-europe.com
VIMKA Ltd.,"Θέση Νεόκτιστα Ασπροπύργου Αττικής, 193 00, Ασπρόπυργος",vimka@otenet.gr,"2105590870 , 2105590759",https://www.vimkaepe.gr
BIMA,"4 Pagratiou Square, 116 34 Athens",nsfiris@bima.gr,210 7518344,https://www.bima.gr
BMTE SA,"Ir. Skopetiriou 2, 161 21, Kaisariani, Athens",ath@kampakas.gr,2107522066,https://www.bmte.gr
By Linear,"14 Lontou Street, Glyfada, Athens, 16675 Greece",info@by-linear.com,210 9607500,https://www.by-linear.com/
C-BASS,Dim. Christou Mpeka 106 19004 Spata - Attiki – Greece,info@c-bass.gr,+302100108655,(-)
C&A,"Anchialou 97 & Aigaleo 73, 185 44, Piraeus",info@kassidiaris.gr,2104636000,https://www.kassidiaris.gr/
CENSUS,"128 Andreas Sygrou Avenue, 117 45, Kallithea",eu@census-labs.com,2102208989/8990,https://census-labs.com/
